circuit_id,region,product,bandwidth_mbps,vendor,model,sla_tier,utilization_pct,jitter_ms,pkt_loss_pct,latency_ms,crc_err_rate,redundancy
CIR-1000,South,IP/MPLS,1000,Cisco,ASR 920,Bronze,62.27,1.7,1.542,27.29,0.725,True
CIR-1001,North,IP/MPLS,500,Cisco,NCS 5508,Gold,87.51,1.02,1.417,88.95,0.016,True
CIR-1002,Central,IP/MPLS,1000,Juniper,ASR 920,Silver,21.82,9.71,0.947,46.99,0.341,True
CIR-1003,North,FiberLink,1000,Ciena,ASR 920,Gold,18.57,1.05,0.116,36.43,0.819,False
CIR-1004,North,FiberLink,500,Ciena,ETX-203,Gold,31.76,1.93,0.149,47.63,0.603,False
CIR-1005,West,Broadband,500,Juniper,ASR 920,Gold,71.72,3.83,1.705,68.59,0.337,True
CIR-1006,Central,Broadband,500,RAD,5164,Gold,60.4,8.27,1.98,18.85,0.906,True
CIR-1007,Central,Ethernet,100,Ciena,ETX-203,Silver,18.69,9.66,1.352,47.7,0.773,True
CIR-1008,Central,Ethernet,2000,Cisco,ASR 920,Gold,88.09,8.11,0.892,60.85,0.265,False
CIR-1009,North,Broadband,100,Cisco,7750 SR,Silver,77.16,7.22,1.295,95.12,0.645,True
CIR-1010,South,FiberLink,100,Nokia,5164,Silver,11.96,5.69,1.189,28.99,0.596,False
CIR-1011,Central,IP/MPLS,1000,Ciena,5164,Bronze,65.37,1.78,0.767,39.13,0.401,True
CIR-1012,North,Broadband,500,RAD,5164,Silver,75.56,9.62,0.131,41.04,0.367,True
CIR-1013,West,Ethernet,2000,Juniper,ETX-203,Bronze,41.83,7.83,1.643,62.53,0.344,True
CIR-1014,South,FiberLink,1000,Juniper,ASR 920,Silver,15.86,6.75,0.744,38.89,0.617,True
CIR-1015,West,Broadband,100,RAD,ASR 920,Silver,16.57,7.83,1.638,55.68,0.442,True
CIR-1016,South,Broadband,500,Nokia,7750 SR,Silver,18.86,7.52,0.505,79.27,0.832,True
CIR-1017,North,FiberLink,1000,Juniper,7750 SR,Bronze,81.44,6.74,0.002,72.01,0.67,False
CIR-1018,East,Broadband,500,Ciena,5164,Bronze,87.41,9.83,0.318,47.41,0.07,True
CIR-1019,South,FiberLink,1000,Nokia,7750 SR,Gold,20.44,9.13,0.937,87.1,0.64,False
CIR-1020,West,IP/MPLS,500,Ciena,ETX-203,Bronze,30.05,6.82,1.889,58.02,0.271,True
CIR-1021,North,FiberLink,100,Cisco,ASR 920,Bronze,24.07,7.24,0.204,56.29,0.593,True
CIR-1022,South,FiberLink,2000,Nokia,5164,Bronze,25.84,1.46,1.708,8.25,0.68,False
CIR-1023,East,FiberLink,100,Juniper,7750 SR,Bronze,81.19,7.03,1.054,98.74,0.231,True
